날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,종목코드,index
2025-04-14,35800.0,36200.0,35750.0,36100.0,126166.0,0.8379888268156425,142065.0,2.63,0.25,13737.0,6.93,2500.0,078930,
2025-04-14,17390.0,17390.0,17130.0,17270.0,104352.0,1.3497652582159625,12539.0,8.7,1.38,1985.0,2.9,500.0,083450,
2025-04-14,16350.0,16420.0,16210.0,16350.0,189633.0,0.3067484662576687,50825.0,0.0,0.32,0.0,0.0,0.0,006360,
2025-04-14,2590.0,2595.0,2555.0,2580.0,605724.0,0.38910505836575876,5113.0,7.66,0.5,337.0,0.97,25.0,001250,
2025-04-14,14040.0,14300.0,14040.0,14230.0,121045.0,0.4234297812279464,39235.0,82.25,0.36,173.0,3.51,500.0,007070,
2025-04-14,35300.0,36500.0,35300.0,35850.0,1948.0,0.7022471910112359,0.0,0.0,0.0,0.0,7.11,2550.0,078935,
2025-04-14,17600.0,17790.0,17500.0,17600.0,27075.0,0.3993154592127781,0.0,0.0,0.0,0.0,0.0,0.0,499790,
2025-04-14,2385.0,2535.0,2355.0,2500.0,591445.0,8.225108225108226,3319.0,2.2,0.75,1137.0,1.2,30.0,297890,
2025-04-14,1863.0,1943.0,1863.0,1926.0,255442.0,3.995680345572354,2922.0,4.34,0.66,444.0,0.0,0.0,440290,
2025-04-14,2020.0,2300.0,1982.0,2020.0,5275777.0,2.486047691527143,3503.0,2.05,0.58,983.0,0.99,20.0,078150,
2025-04-14,16550.0,16840.0,16150.0,16800.0,186605.0,2.8151774785801713,49804.0,7.82,0.34,2147.0,1.79,300.0,012630,
2025-04-14,8110.0,8250.0,8100.0,8190.0,7105.0,0.9864364981504316,11253.0,14.29,0.73,573.0,5.49,450.0,039570,
2025-04-14,3380.0,3485.0,3370.0,3485.0,5850.0,2.954209748892171,11685.0,4.59,0.3,759.0,4.02,140.0,089470,
2025-04-14,21550.0,21700.0,20850.0,21500.0,280130.0,0.0,46876.0,8.03,0.46,2678.0,3.26,700.0,294870,
2025-04-14,225500.0,228000.0,222000.0,226000.0,254854.0,2.262443438914027,140052.0,72.09,1.61,3135.0,0.0,0.0,009540,
2025-04-14,71700.0,71800.0,70700.0,71000.0,104640.0,-0.6993006993006993,103689.0,18.97,0.68,3743.0,5.21,3700.0,267250,
2025-04-14,61800.0,62500.0,61000.0,62400.0,68467.0,0.9708737864077669,86604.0,8.15,0.72,7659.0,1.12,700.0,267270,
